"longitude","latitude","start_date","end_date","label"
29.97103691,-2.0726321,"2018-09-01","2019-04-01","banana"
30.4223562,-1.697935562,"2018-09-01","2019-04-01","maize"
29.76447138,-1.587987522,"2018-09-01","2019-04-01","legumes"
29.76459492,-1.588020684,"2018-09-01","2019-04-01","legumes"
29.75598582,-1.589993338,"2018-09-01","2019-04-01","structure"
29.75603946,-1.589537537,"2018-09-01","2019-04-01","structure"
29.75773462,-1.589012026,"2018-09-01","2019-04-01","other"
29.75755223,-1.588642024,"2018-09-01","2019-04-01","forest"
29.75799748,-1.58965551,"2018-09-01","2019-04-01","structure"
29.75823351,-1.589532175,"2018-09-01","2019-04-01","structure"
29.75767025,-1.590095222,"2018-09-01","2019-04-01","structure"
29.75750395,-1.590588558,"2018-09-01","2019-04-01","structure"
29.75797065,-1.590540298,"2018-09-01","2019-04-01","structure"
29.7581745,-1.590674357,"2018-09-01","2019-04-01","structure"
29.76484302,-1.5883746,"2018-09-01","2019-04-01","legumes"
29.75861975,-1.590020149,"2018-09-01","2019-04-01","structure"
29.75860902,-1.590293629,"2018-09-01","2019-04-01","structure"
29.75885042,-1.590357978,"2018-09-01","2019-04-01","structure"
29.75893625,-1.590148846,"2018-09-01","2019-04-01","structure"
29.75924202,-1.590304354,"2018-09-01","2019-04-01","structure"
29.75888663,-1.590252071,"2018-09-01","2019-04-01","other"
29.7592836,-1.590211853,"2018-09-01","2019-04-01","other"
29.75822278,-1.59075077,"2018-09-01","2019-04-01","structure"
29.75919911,-1.590138121,"2018-09-01","2019-04-01","structure"
29.75938418,-1.589852575,"2018-09-01","2019-04-01","structure"
29.7647706,-1.589036851,"2018-09-01","2019-04-01","other"
29.75930237,-1.59002149,"2018-09-01","2019-04-01","other"
29.75955048,-1.589978591,"2018-09-01","2019-04-01","structure"
29.75991123,-1.58993167,"2018-09-01","2019-04-01","structure"
29.76007082,-1.590081816,"2018-09-01","2019-04-01","structure"
