longitude,latitude,label,start_date,end_date
-47.550162735813400,-15.577940082121200,Soy,2017-09-01,2018-08-31
-47.543880747853900,-15.576868172953300,Soy,2017-09-01,2018-08-31
-47.537037137294900,-15.577302157590800,Soy_Corn,2017-09-01,2018-08-31
-47.530807625118300,-15.577817494733500,Soy_Corn,2017-09-01,2018-08-31
-47.527141673388000,-15.577383634520600,Soy_Corn,2017-09-01,2018-08-31
-47.517635010251000,-15.575547371137800,Pasture,2017-09-01,2018-08-31
-47.528879463231900,-15.589828307314800,Soy_Corn,2017-09-01,2018-08-31
-47.517090562790800,-15.588634921225600,Pasture,2017-09-01,2018-08-31
-47.469792985005200,-15.580010513819600,Cerradao,2017-09-01,2018-08-31
-47.461612806543400,-15.574919357717400,Cerrado,2017-09-01,2018-08-31
-47.441824910990600,-15.587235588090000,Soy,2017-09-01,2018-08-31
-47.443056761442200,-15.578348088576600,Soy_Corn,2017-09-01,2018-08-31
-47.416451240560500,-15.584509028064500,Soy,2017-09-01,2018-08-31
-47.404710912429600,-15.575656613511300,Soy_Corn,2017-09-01,2018-08-31
-47.339523395947500,-15.534271795951500,Urban_Area,2017-09-01,2018-08-31
-47.348832217037200,-15.545134149111700,Urban_Area,2017-09-01,2018-08-31
-47.330222042978600,-15.559614340881200,Urban_Area,2017-09-01,2018-08-31
-47.323374363363500,-15.545614880486800,Urban_Area,2017-09-01,2018-08-31
-47.302699896276600,-15.537114028513800,Urban_Area,2017-09-01,2018-08-31
-47.350118682685600,-15.558808265693900,Urban_Area,2017-09-01,2018-08-31
-47.312676203382200,-15.570689025413600,Urban_Area,2017-09-01,2018-08-31
-47.365734358822900,-15.588864006083300,Soy_Corn,2017-09-01,2018-08-31
-47.365196836782800,-15.581736764913900,Pasture,2017-09-01,2018-08-31
-47.356322020078300,-15.589754908677100,Soy_Cotton,2017-09-01,2018-08-31
-47.320105871190300,-15.572910651698900,Cerrado,2017-09-01,2018-08-31
-47.277972146683600,-15.557699754239700,Cerrado,2017-09-01,2018-08-31
-47.259013111732000,-15.569419851909100,Cerrado,2017-09-01,2018-08-31
-47.271450167494700,-15.551913699276300,Urban_Area,2017-09-01,2018-08-31
-47.209833898108700,-15.566318704713400,Cerrado,2017-09-01,2018-08-31
-47.149778249795200,-15.545953626081800,Cerrado,2017-09-01,2018-08-31
-47.132155535633700,-15.525751733337300,Soy_Corn,2017-09-01,2018-08-31
-47.136293465692000,-15.532912029642100,Soy_Corn,2017-09-01,2018-08-31
-47.116400943664600,-15.520233300701300,Cerrado,2017-09-01,2018-08-31
-47.109645264264500,-15.492982966292500,Urban_Area,2017-09-01,2018-08-31
-47.102763653816200,-15.493072389165800,Urban_Area,2017-09-01,2018-08-31
-47.104902268972700,-15.442695538063400,Pasture,2017-09-01,2018-08-31
-47.104877975976900,-15.433410555227700,Pasture,2017-09-01,2018-08-31
-47.105223180996300,-15.423876046317400,Pasture,2017-09-01,2018-08-31
