id,longitude,latitude,start_date,end_date,label
1,-51.2646171763228,-13.5034018031836,2002-08-29,2003-08-13,Araguaia
2,-51.2646171763228,-13.5034018031836,2003-08-29,2004-08-12,Araguaia
3,-51.2646171763228,-13.5034018031836,2004-08-28,2005-08-13,Araguaia
4,-51.2646171763228,-13.5034018031836,2005-08-29,2006-08-13,Araguaia
5,-51.2646171763228,-13.5034018031836,2006-08-29,2007-08-13,Araguaia
6,-51.2646171763228,-13.5034018031836,2007-08-29,2008-08-12,Araguaia
7,-51.2646171763228,-13.5034018031836,2008-08-28,2009-08-13,Araguaia
8,-51.2646171763228,-13.5034018031836,2009-08-29,2010-08-13,Araguaia
9,-51.2646171763228,-13.5034018031836,2010-08-29,2011-08-13,Araguaia
10,-51.2646171763228,-13.5034018031836,2011-08-29,2012-08-12,Araguaia
11,-51.2646171763228,-13.5034018031836,2012-08-28,2013-08-13,Araguaia
12,-51.2013207293399,-13.4587219582545,2002-08-29,2003-08-13,Araguaia
13,-51.2013207293399,-13.4587219582545,2003-08-29,2004-08-12,Araguaia
14,-51.2013207293399,-13.4587219582545,2004-08-28,2005-08-13,Araguaia
15,-51.2013207293399,-13.4587219582545,2005-08-29,2006-08-13,Araguaia
16,-51.2013207293399,-13.4587219582545,2006-08-29,2007-08-13,Araguaia
17,-51.2013207293399,-13.4587219582545,2007-08-29,2008-08-12,Araguaia
18,-51.2013207293399,-13.4587219582545,2008-08-28,2009-08-13,Araguaia
19,-51.2013207293399,-13.4587219582545,2009-08-29,2010-08-13,Araguaia
20,-51.2013207293399,-13.4587219582545,2010-08-29,2011-08-13,Araguaia
21,-51.2013207293399,-13.4587219582545,2011-08-29,2012-08-12,Araguaia
22,-51.2013207293399,-13.4587219582545,2012-08-28,2013-08-13,Araguaia
23,-51.0654195343473,-13.3768089092178,2002-08-29,2003-08-13,Araguaia
24,-51.0654195343473,-13.3768089092178,2003-08-29,2004-08-12,Araguaia
25,-51.0654195343473,-13.3768089092178,2004-08-28,2005-08-13,Araguaia
26,-51.0654195343473,-13.3768089092178,2005-08-29,2006-08-13,Araguaia
27,-51.0654195343473,-13.3768089092178,2006-08-29,2007-08-13,Araguaia
28,-51.0654195343473,-13.3768089092178,2007-08-29,2008-08-12,Araguaia
29,-51.0654195343473,-13.3768089092178,2008-08-28,2009-08-13,Araguaia
30,-51.0654195343473,-13.3768089092178,2009-08-29,2010-08-13,Araguaia
31,-51.0654195343473,-13.3768089092178,2010-08-29,2011-08-13,Araguaia
32,-51.0654195343473,-13.3768089092178,2011-08-29,2012-08-12,Araguaia
33,-51.0654195343473,-13.3768089092178,2012-08-28,2013-08-13,Araguaia
34,-51.2366922732421,-13.427073734763,2002-08-29,2003-08-13,Araguaia
35,-51.2366922732421,-13.427073734763,2003-08-29,2004-08-12,Araguaia
36,-51.2366922732421,-13.427073734763,2004-08-28,2005-08-13,Araguaia
37,-51.2366922732421,-13.427073734763,2005-08-29,2006-08-13,Araguaia
38,-51.2366922732421,-13.427073734763,2006-08-29,2007-08-13,Araguaia
39,-51.2366922732421,-13.427073734763,2007-08-29,2008-08-12,Araguaia
40,-51.2366922732421,-13.427073734763,2008-08-28,2009-08-13,Araguaia
41,-51.2366922732421,-13.427073734763,2009-08-29,2010-08-13,Araguaia
42,-51.2366922732421,-13.427073734763,2010-08-29,2011-08-13,Araguaia
43,-51.2366922732421,-13.427073734763,2011-08-29,2012-08-12,Araguaia
44,-51.2366922732421,-13.427073734763,2012-08-28,2013-08-13,Araguaia
45,-51.0337713108558,-13.3414373653156,2002-08-29,2003-08-13,Araguaia
46,-51.0337713108558,-13.3414373653156,2003-08-29,2004-08-12,Araguaia
47,-51.0337713108558,-13.3414373653156,2004-08-28,2005-08-13,Araguaia
48,-51.0337713108558,-13.3414373653156,2005-08-29,2006-08-13,Araguaia
49,-51.0337713108558,-13.3414373653156,2006-08-29,2007-08-13,Araguaia
50,-51.0337713108558,-13.3414373653156,2007-08-29,2008-08-12,Araguaia
51,-51.0337713108558,-13.3414373653156,2008-08-28,2009-08-13,Araguaia
52,-51.0337713108558,-13.3414373653156,2009-08-29,2010-08-13,Araguaia
53,-51.0337713108558,-13.3414373653156,2010-08-29,2011-08-13,Araguaia
54,-51.0337713108558,-13.3414373653156,2011-08-29,2012-08-12,Araguaia
55,-51.0337713108558,-13.3414373653156,2012-08-28,2013-08-13,Araguaia
56,-51.0970677578387,-13.2948958601812,2002-08-29,2003-08-13,Araguaia
57,-51.0970677578387,-13.2948958601812,2003-08-29,2004-08-12,Araguaia
58,-51.0970677578387,-13.2948958601812,2004-08-28,2005-08-13,Araguaia
59,-51.0970677578387,-13.2948958601812,2005-08-29,2006-08-13,Araguaia
60,-51.0970677578387,-13.2948958601812,2006-08-29,2007-08-13,Araguaia
61,-51.0970677578387,-13.2948958601812,2007-08-29,2008-08-12,Araguaia
62,-51.0970677578387,-13.2948958601812,2008-08-28,2009-08-13,Araguaia
63,-51.0970677578387,-13.2948958601812,2009-08-29,2010-08-13,Araguaia
64,-51.0970677578387,-13.2948958601812,2010-08-29,2011-08-13,Araguaia
65,-51.0970677578387,-13.2948958601812,2011-08-29,2012-08-12,Araguaia
66,-51.0970677578387,-13.2948958601812,2012-08-28,2013-08-13,Araguaia
67,-51.000261427159,-13.2613859764844,2002-08-29,2003-08-13,Araguaia
68,-51.000261427159,-13.2613859764844,2003-08-29,2004-08-12,Araguaia
69,-51.000261427159,-13.2613859764844,2004-08-28,2005-08-13,Araguaia
70,-51.000261427159,-13.2613859764844,2005-08-29,2006-08-13,Araguaia
71,-51.000261427159,-13.2613859764844,2006-08-29,2007-08-13,Araguaia
72,-51.000261427159,-13.2613859764844,2007-08-29,2008-08-12,Araguaia
73,-51.000261427159,-13.2613859764844,2008-08-28,2009-08-13,Araguaia
74,-51.000261427159,-13.2613859764844,2009-08-29,2010-08-13,Araguaia
75,-51.000261427159,-13.2613859764844,2010-08-29,2011-08-13,Araguaia
76,-51.000261427159,-13.2613859764844,2011-08-29,2012-08-12,Araguaia
77,-51.000261427159,-13.2613859764844,2012-08-28,2013-08-13,Araguaia
78,-50.9388266403815,-13.175749607037,2002-08-29,2003-08-13,Araguaia
79,-50.9388266403815,-13.175749607037,2003-08-29,2004-08-12,Araguaia
80,-50.9388266403815,-13.175749607037,2004-08-28,2005-08-13,Araguaia
81,-50.9388266403815,-13.175749607037,2005-08-29,2006-08-13,Araguaia
82,-50.9388266403815,-13.175749607037,2006-08-29,2007-08-13,Araguaia
83,-50.9388266403815,-13.175749607037,2007-08-29,2008-08-12,Araguaia
84,-50.9388266403815,-13.175749607037,2008-08-28,2009-08-13,Araguaia
85,-50.9388266403815,-13.175749607037,2009-08-29,2010-08-13,Araguaia
86,-50.9388266403815,-13.175749607037,2010-08-29,2011-08-13,Araguaia
87,-50.9388266403815,-13.175749607037,2011-08-29,2012-08-12,Araguaia
88,-50.9388266403815,-13.175749607037,2012-08-28,2013-08-13,Araguaia
89,-50.9797831648999,-13.1459630437509,2002-08-29,2003-08-13,Araguaia
