id,longitude,latitude,start_date,end_date,label
1,-47.0591308450281,-11.247175288232,2002-08-29,2003-08-13,Cerradao
2,-47.0591308450281,-11.247175288232,2003-08-29,2004-08-12,Cerradao
3,-47.0591308450281,-11.247175288232,2004-08-28,2005-08-13,Cerradao
4,-47.0591308450281,-11.247175288232,2005-08-29,2006-08-13,Cerradao
5,-47.0591308450281,-11.247175288232,2006-08-29,2007-08-13,Cerradao
6,-47.0591308450281,-11.247175288232,2007-08-29,2008-08-12,Cerradao
7,-47.0591308450281,-11.247175288232,2008-08-28,2009-08-13,Cerradao
8,-47.0591308450281,-11.247175288232,2009-08-29,2010-08-13,Cerradao
9,-47.0591308450281,-11.247175288232,2010-08-29,2011-08-13,Cerradao
10,-47.0591308450281,-11.247175288232,2011-08-29,2012-08-12,Cerradao
11,-47.0591308450281,-11.247175288232,2012-08-28,2013-08-13,Cerradao
12,-47.2563981703283,-11.3111823324478,2002-08-29,2003-08-13,Cerradao
13,-47.2563981703283,-11.3111823324478,2003-08-29,2004-08-12,Cerradao
14,-47.2563981703283,-11.3111823324478,2004-08-28,2005-08-13,Cerradao
15,-47.2563981703283,-11.3111823324478,2005-08-29,2006-08-13,Cerradao
16,-47.2563981703283,-11.3111823324478,2006-08-29,2007-08-13,Cerradao
17,-47.2563981703283,-11.3111823324478,2007-08-29,2008-08-12,Cerradao
18,-47.2563981703283,-11.3111823324478,2008-08-28,2009-08-13,Cerradao
19,-47.2563981703283,-11.3111823324478,2009-08-29,2010-08-13,Cerradao
20,-47.2563981703283,-11.3111823324478,2010-08-29,2011-08-13,Cerradao
21,-47.2563981703283,-11.3111823324478,2011-08-29,2012-08-12,Cerradao
22,-47.2563981703283,-11.3111823324478,2012-08-28,2013-08-13,Cerradao
23,-46.5142777194656,-10.9662186545802,2002-08-29,2003-08-13,Cerradao
24,-46.5142777194656,-10.9662186545802,2003-08-29,2004-08-12,Cerradao
25,-46.5142777194656,-10.9662186545802,2004-08-28,2005-08-13,Cerradao
26,-46.5142777194656,-10.9662186545802,2005-08-29,2006-08-13,Cerradao
27,-46.5142777194656,-10.9662186545802,2006-08-29,2007-08-13,Cerradao
28,-46.5142777194656,-10.9662186545802,2007-08-29,2008-08-12,Cerradao
29,-46.5142777194656,-10.9662186545802,2008-08-28,2009-08-13,Cerradao
30,-46.5142777194656,-10.9662186545802,2009-08-29,2010-08-13,Cerradao
31,-46.5142777194656,-10.9662186545802,2010-08-29,2011-08-13,Cerradao
32,-46.5142777194656,-10.9662186545802,2011-08-29,2012-08-12,Cerradao
33,-46.5142777194656,-10.9662186545802,2012-08-28,2013-08-13,Cerradao
34,-46.9330254071187,-11.3451794116242,2002-08-29,2003-08-13,Cerradao
35,-46.9330254071187,-11.3451794116242,2003-08-29,2004-08-12,Cerradao
36,-46.9330254071187,-11.3451794116242,2004-08-28,2005-08-13,Cerradao
37,-46.9330254071187,-11.3451794116242,2005-08-29,2006-08-13,Cerradao
38,-46.9330254071187,-11.3451794116242,2006-08-29,2007-08-13,Cerradao
39,-46.9330254071187,-11.3451794116242,2007-08-29,2008-08-12,Cerradao
40,-46.9330254071187,-11.3451794116242,2008-08-28,2009-08-13,Cerradao
41,-46.9330254071187,-11.3451794116242,2009-08-29,2010-08-13,Cerradao
42,-46.9330254071187,-11.3451794116242,2010-08-29,2011-08-13,Cerradao
43,-46.9330254071187,-11.3451794116242,2011-08-29,2012-08-12,Cerradao
44,-46.9330254071187,-11.3451794116242,2012-08-28,2013-08-13,Cerradao
45,-47.2671232776626,-11.3115229756437,2002-08-29,2003-08-13,Cerradao
46,-47.2671232776626,-11.3115229756437,2003-08-29,2004-08-12,Cerradao
47,-47.2671232776626,-11.3115229756437,2004-08-28,2005-08-13,Cerradao
48,-47.2671232776626,-11.3115229756437,2005-08-29,2006-08-13,Cerradao
49,-47.2671232776626,-11.3115229756437,2006-08-29,2007-08-13,Cerradao
50,-47.2671232776626,-11.3115229756437,2007-08-29,2008-08-12,Cerradao
51,-47.2671232776626,-11.3115229756437,2008-08-28,2009-08-13,Cerradao
52,-47.2671232776626,-11.3115229756437,2009-08-29,2010-08-13,Cerradao
53,-47.2671232776626,-11.3115229756437,2010-08-29,2011-08-13,Cerradao
54,-47.2671232776626,-11.3115229756437,2011-08-29,2012-08-12,Cerradao
55,-47.2671232776626,-11.3115229756437,2012-08-28,2013-08-13,Cerradao
56,-45.9096559191482,-10.914379744209,2002-08-29,2003-08-13,Cerradao
57,-45.9096559191482,-10.914379744209,2003-08-29,2004-08-12,Cerradao
58,-45.9096559191482,-10.914379744209,2004-08-28,2005-08-13,Cerradao
59,-45.9096559191482,-10.914379744209,2005-08-29,2006-08-13,Cerradao
60,-45.9096559191482,-10.914379744209,2006-08-29,2007-08-13,Cerradao
61,-45.9096559191482,-10.914379744209,2007-08-29,2008-08-12,Cerradao
62,-45.9096559191482,-10.914379744209,2008-08-28,2009-08-13,Cerradao
63,-45.9096559191482,-10.914379744209,2009-08-29,2010-08-13,Cerradao
64,-45.9096559191482,-10.914379744209,2010-08-29,2011-08-13,Cerradao
65,-45.9096559191482,-10.914379744209,2011-08-29,2012-08-12,Cerradao
66,-45.9096559191482,-10.914379744209,2012-08-28,2013-08-13,Cerradao
67,-47.0996354758865,-11.3047344950362,2002-08-29,2003-08-13,Cerradao
68,-47.0996354758865,-11.3047344950362,2003-08-29,2004-08-12,Cerradao
69,-47.0996354758865,-11.3047344950362,2004-08-28,2005-08-13,Cerradao
70,-47.0996354758865,-11.3047344950362,2005-08-29,2006-08-13,Cerradao
71,-47.0996354758865,-11.3047344950362,2006-08-29,2007-08-13,Cerradao
72,-47.0996354758865,-11.3047344950362,2007-08-29,2008-08-12,Cerradao
73,-47.0996354758865,-11.3047344950362,2008-08-28,2009-08-13,Cerradao
74,-47.0996354758865,-11.3047344950362,2009-08-29,2010-08-13,Cerradao
75,-47.0996354758865,-11.3047344950362,2010-08-29,2011-08-13,Cerradao
76,-47.0996354758865,-11.3047344950362,2011-08-29,2012-08-12,Cerradao
77,-47.0996354758865,-11.3047344950362,2012-08-28,2013-08-13,Cerradao
78,-50.680055871834,-13.0901132375896,2002-08-29,2003-08-13,Cerradao
79,-50.680055871834,-13.0901132375896,2003-08-29,2004-08-12,Cerradao
80,-50.680055871834,-13.0901132375896,2004-08-28,2005-08-13,Cerradao
81,-50.680055871834,-13.0901132375896,2005-08-29,2006-08-13,Cerradao
82,-50.680055871834,-13.0901132375896,2006-08-29,2007-08-13,Cerradao
83,-50.680055871834,-13.0901132375896,2007-08-29,2008-08-12,Cerradao
84,-50.680055871834,-13.0901132375896,2008-08-28,2009-08-13,Cerradao
85,-50.680055871834,-13.0901132375896,2009-08-29,2010-08-13,Cerradao
86,-50.680055871834,-13.0901132375896,2010-08-29,2011-08-13,Cerradao
87,-50.680055871834,-13.0901132375896,2011-08-29,2012-08-12,Cerradao
88,-50.680055871834,-13.0901132375896,2012-08-28,2013-08-13,Cerradao
89,-51.0765894955795,-12.9951685671153,2002-08-29,2003-08-13,Cerradao
90,-51.0765894955795,-12.9951685671153,2003-08-29,2004-08-12,Cerradao
91,-51.0765894955795,-12.9951685671153,2004-08-28,2005-08-13,Cerradao
92,-51.0765894955795,-12.9951685671153,2005-08-29,2006-08-13,Cerradao
93,-51.0765894955795,-12.9951685671153,2006-08-29,2007-08-13,Cerradao
